State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
KARNATAKA,9,18,1,104,24,1,0,2012,157
KARNATAKA,10,11,0,99,24,1,0,2012,145
KARNATAKA,4,18,2,128,24,1,0,2012,177
KARNATAKA,12,12,9,36,20,1,0,2012,90
KARNATAKA,2,9,2,62,8,1,0,2012,84
KARNATAKA,4,11,0,89,7,1,0,2012,112
KARNATAKA,6,26,3,75,34,1,0,2012,145
KARNATAKA,2,12,4,42,9,1,0,2012,70
KARNATAKA,8,17,0,119,20,1,0,2012,165
KARNATAKA,2,6,0,65,42,1,0,2012,116
KARNATAKA,0,5,4,24,3,1,0,2012,37
KARNATAKA,2,6,4,47,12,1,0,2012,72
KARNATAKA,10,29,2,151,39,1,0,2012,232
KARNATAKA,5,21,1,155,19,1,0,2012,202
KARNATAKA,3,12,0,68,0,1,0,2012,84
KARNATAKA,2,10,2,19,0,1,0,2012,34
KARNATAKA,2,12,9,43,3,1,0,2012,70
KARNATAKA,1,18,2,34,14,1,0,2012,70
KARNATAKA,0,7,0,87,0,1,0,2012,95
KARNATAKA,9,35,3,204,39,1,0,2012,291
KARNATAKA,1,12,4,48,4,1,0,2012,70
KARNATAKA,6,12,0,32,10,1,0,2012,61
KARNATAKA,1,28,0,158,47,1,0,2012,235
KARNATAKA,1,19,4,190,25,1,0,2012,240
KARNATAKA,2,2,4,0,1,1,0,2012,10
KARNATAKA,17,16,2,73,53,1,0,2012,162
KARNATAKA,6,14,1,222,24,1,0,2012,268
KARNATAKA,18,33,0,132,10,1,0,2012,194
KARNATAKA,0,5,2,38,3,1,0,2012,49
KARNATAKA,1,7,9,78,10,1,0,2012,106
KARNATAKA,0,9,2,63,20,1,0,2012,95
KARNATAKA,218,621,0,3684,1070,1,0,2012,5594
KERALA,1,44,3,294,15,1,0,2012,358
KERALA,0,28,4,127,5,1,0,2012,165
KERALA,0,59,0,216,9,1,0,2012,285
KERALA,2,53,0,219,10,1,0,2012,285
KERALA,0,66,4,391,18,1,0,2012,480
KERALA,3,89,4,205,10,1,0,2012,312
KERALA,4,46,2,336,18,1,0,2012,407
KERALA,1,49,1,326,14,1,0,2012,392
KERALA,1,55,0,255,17,1,0,2012,329
KERALA,0,36,2,144,3,1,0,2012,186
KERALA,0,42,9,313,13,1,0,2012,378
KERALA,2,97,2,668,3,1,0,2012,773
KERALA,5,68,0,401,9,1,0,2012,484
KERALA,2,32,3,162,16,1,0,2012,216
KERALA,0,0,4,0,1,1,0,2012,6
KERALA,0,35,0,146,9,1,0,2012,191
KERALA,2,46,0,361,9,1,0,2012,419
KERALA,0,41,4,159,16,1,0,2012,221
KERALA,8,97,4,398,10,1,0,2012,518
KERALA,1,36,2,95,9,1,0,2012,144
KERALA,32,1019,1,5216,214,1,0,2012,6483
MADHYA PRADESH,0,22,0,2,12,1,0,2012,37
MADHYA PRADESH,12,62,2,53,8,1,0,2012,138
MADHYA PRADESH,10,50,9,21,5,1,0,2012,96
MADHYA PRADESH,6,78,5,63,7,1,0,2012,160
MADHYA PRADESH,2,50,2,13,8,1,0,2012,76
MADHYA PRADESH,11,118,1,57,10,1,0,2012,198
MADHYA PRADESH,40,49,0,50,25,1,0,2012,165
MADHYA PRADESH,19,143,0,254,49,1,0,2012,466
MADHYA PRADESH,0,4,0,3,1,1,0,2012,9
MADHYA PRADESH,2,23,11,47,5,1,0,2012,89
MADHYA PRADESH,26,62,4,68,39,1,0,2012,200
MADHYA PRADESH,18,122,3,108,19,1,0,2012,271
MADHYA PRADESH,20,50,0,108,27,1,0,2012,206
MADHYA PRADESH,8,23,3,25,20,1,0,2012,80
MADHYA PRADESH,19,70,1,130,29,1,0,2012,250
MADHYA PRADESH,39,81,0,69,45,1,0,2012,235
MADHYA PRADESH,5,40,41,39,6,1,0,2012,132
MADHYA PRADESH,8,60,3,34,25,1,0,2012,131
MADHYA PRADESH,35,85,0,202,75,1,0,2012,398
MADHYA PRADESH,7,26,0,16,10,1,0,2012,60
MADHYA PRADESH,12,69,0,57,27,1,0,2012,166
MADHYA PRADESH,24,173,0,448,42,1,0,2012,688
MADHYA PRADESH,0,3,8,0,3,1,0,2012,15
MADHYA PRADESH,33,127,0,219,45,1,0,2012,425
MADHYA PRADESH,0,3,0,0,0,1,0,2012,4
MADHYA PRADESH,0,62,2,24,17,1,0,2012,106
MADHYA PRADESH,12,58,5,46,14,1,0,2012,136
MADHYA PRADESH,6,66,0,34,5,1,0,2012,112
MADHYA PRADESH,30,67,3,45,20,1,0,2012,166
MADHYA PRADESH,3,75,6,40,8,1,0,2012,133
MADHYA PRADESH,6,49,0,78,28,1,0,2012,162
MADHYA PRADESH,29,32,0,94,29,1,0,2012,185
MADHYA PRADESH,16,71,7,79,14,1,0,2012,188
MADHYA PRADESH,4,25,0,42,10,1,0,2012,82
MADHYA PRADESH,18,34,0,31,4,1,0,2012,88
MADHYA PRADESH,22,92,0,72,16,1,0,2012,203
MADHYA PRADESH,6,90,0,50,47,1,0,2012,194
MADHYA PRADESH,13,72,2,85,25,1,0,2012,198
MADHYA PRADESH,39,92,4,101,35,1,0,2012,272
MADHYA PRADESH,34,125,5,145,61,1,0,2012,371
MADHYA PRADESH,17,89,5,121,25,1,0,2012,258
MADHYA PRADESH,11,65,0,24,8,1,0,2012,109
MADHYA PRADESH,13,81,0,141,27,1,0,2012,263
MADHYA PRADESH,7,67,0,42,17,1,0,2012,134
MADHYA PRADESH,5,17,0,29,4,1,0,2012,56
MADHYA PRADESH,9,104,5,67,22,1,0,2012,208
MADHYA PRADESH,18,48,4,59,38,1,0,2012,168
MADHYA PRADESH,10,69,1,47,14,1,0,2012,142
MADHYA PRADESH,13,32,0,63,33,1,0,2012,142
MADHYA PRADESH,16,61,2,27,8,1,0,2012,115
MADHYA PRADESH,11,73,10,202,31,1,0,2012,328
MADHYA PRADESH,0,22,0,17,2,1,0,2012,42
MADHYA PRADESH,19,94,32,97,23,1,0,2012,266
MADHYA PRADESH,743,3425,2,3988,1127,1,0,2012,9286
MAHARASHTRA,23,61,38,576,49,1,0,2012,748
MAHARASHTRA,4,19,0,87,19,1,0,2012,130
MAHARASHTRA,1,20,0,74,16,1,0,2012,112
MAHARASHTRA,3,64,0,139,17,1,0,2012,224
MAHARASHTRA,4,23,0,120,18,1,0,2012,166
MAHARASHTRA,18,25,5,298,10,1,0,2012,357
MAHARASHTRA,8,42,0,378,21,1,0,2012,450
MAHARASHTRA,3,26,0,59,8,1,0,2012,97
MAHARASHTRA,27,29,3,193,28,1,0,2012,281
MAHARASHTRA,4,44,0,125,29,1,0,2012,203
MAHARASHTRA,4,30,6,207,14,1,0,2012,262
MAHARASHTRA,0,18,7,12,6,1,0,2012,44
MAHARASHTRA,0,38,0,42,10,1,0,2012,91
MAHARASHTRA,6,13,0,88,5,1,0,2012,113
MAHARASHTRA,1,45,5,409,39,1,0,2012,500
MAHARASHTRA,36,25,4,303,18,1,0,2012,387
MAHARASHTRA,17,48,1,148,22,1,0,2012,237
MAHARASHTRA,4,21,0,212,32,1,0,2012,270
MAHARASHTRA,11,232,0,388,141,1,0,2012,773
MAHARASHTRA,1,1,7,0,5,1,0,2012,15
MAHARASHTRA,6,57,2,166,39,1,0,2012,271
MAHARASHTRA,0,1,8,3,2,1,0,2012,15
MAHARASHTRA,7,29,6,76,15,1,0,2012,134
MAHARASHTRA,25,48,0,421,32,1,0,2012,527
MAHARASHTRA,0,19,0,78,8,1,0,2012,106
MAHARASHTRA,3,20,0,147,13,1,0,2012,184
MAHARASHTRA,17,46,0,319,20,1,0,2012,403
MAHARASHTRA,3,36,3,91,11,1,0,2012,145
MAHARASHTRA,2,38,5,175,21,1,0,2012,242
MAHARASHTRA,3,28,2,242,13,1,0,2012,289
MAHARASHTRA,9,85,0,215,77,1,0,2012,387
MAHARASHTRA,0,2,4,0,1,1,0,2012,8
MAHARASHTRA,12,92,0,221,51,1,0,2012,377
MAHARASHTRA,19,21,1,40,3,1,0,2012,85
MAHARASHTRA,2,11,44,38,3,1,0,2012,99
MAHARASHTRA,8,33,2,64,23,1,0,2012,131
MAHARASHTRA,0,43,38,166,25,1,0,2012,273
MAHARASHTRA,0,9,0,11,5,1,0,2012,26
MAHARASHTRA,1,25,0,53,21,1,0,2012,101
MAHARASHTRA,3,67,0,151,24,1,0,2012,246
MAHARASHTRA,4,107,0,330,77,1,0,2012,519
MAHARASHTRA,6,63,8,111,37,1,0,2012,226
MAHARASHTRA,0,40,0,59,25,1,0,2012,125
MAHARASHTRA,6,31,0,133,27,1,0,2012,198
MAHARASHTRA,18,64,4,247,60,1,0,2012,394
MAHARASHTRA,329,1839,0,7415,1140,1,0,2012,10724
MANIPUR,0,11,4,4,7,1,0,2012,27
MANIPUR,0,0,1,0,1,1,0,2012,3
MANIPUR,0,1,1,1,1,1,0,2012,5
MANIPUR,0,0,0,0,0,1,0,2012,1
MANIPUR,0,10,4,11,36,1,0,2012,62
MANIPUR,0,18,1,9,47,1,0,2012,76
MANIPUR,0,2,0,0,3,1,0,2012,6
MANIPUR,0,1,1,0,1,1,0,2012,4
MANIPUR,0,20,6,17,37,1,0,2012,81
MANIPUR,0,0,4,1,0,1,0,2012,6
MANIPUR,0,63,5,43,133,1,0,2012,245
MEGHALAYA,0,2,4,0,1,1,0,2012,8
MEGHALAYA,0,6,0,1,2,1,0,2012,10
MEGHALAYA,0,6,2,0,7,1,0,2012,16
MEGHALAYA,0,32,0,0,5,1,0,2012,38
MEGHALAYA,1,58,0,13,5,1,0,2012,78
MEGHALAYA,0,28,6,0,0,1,0,2012,35
MEGHALAYA,0,32,2,2,4,1,0,2012,41
MEGHALAYA,1,164,2,16,24,1,0,2012,208
MIZORAM,0,42,0,8,0,1,0,2012,51
MIZORAM,0,12,2,0,1,1,0,2012,16
MIZORAM,0,9,0,0,0,1,0,2012,10
MIZORAM,0,7,3,0,1,1,0,2012,12
MIZORAM,0,16,4,0,0,1,0,2012,21
MIZORAM,0,10,0,0,0,1,0,2012,11
MIZORAM,0,0,0,0,1,1,0,2012,2
MIZORAM,0,7,4,0,0,1,0,2012,12
MIZORAM,0,103,4,8,3,1,0,2012,119
NAGALAND,0,9,2,0,5,1,0,2012,17
NAGALAND,0,0,1,0,0,1,0,2012,2
NAGALAND,0,1,0,0,0,1,0,2012,2
NAGALAND,0,0,2,0,0,1,0,2012,3
NAGALAND,0,3,9,0,0,1,0,2012,13
NAGALAND,0,3,5,0,2,1,0,2012,11
NAGALAND,0,0,2,0,0,1,0,2012,3
NAGALAND,0,1,1,0,0,1,0,2012,3
NAGALAND,0,1,0,0,0,1,0,2012,2
NAGALAND,0,2,0,0,0,1,0,2012,3
NAGALAND,0,1,0,0,3,1,0,2012,5
NAGALAND,0,21,11,0,10,1,0,2012,43
ODISHA,20,63,4,76,55,1,0,2012,219
ODISHA,43,87,3,307,130,1,0,2012,571
ODISHA,3,35,0,96,30,1,0,2012,165
ODISHA,10,18,3,119,17,1,0,2012,168
ODISHA,20,54,1,155,66,1,0,2012,297
ODISHA,7,51,0,40,36,1,0,2012,135
ODISHA,0,10,41,24,8,1,0,2012,84
ODISHA,27,43,3,147,57,1,0,2012,278
ODISHA,24,56,0,91,76,1,0,2012,248
ODISHA,14,28,0,134,43,1,0,2012,220
ODISHA,2,17,0,9,5,1,0,2012,34
ODISHA,23,29,0,33,35,1,0,2012,121
ODISHA,2,18,8,8,9,1,0,2012,46
ODISHA,32,53,0,39,55,1,0,2012,180
ODISHA,20,43,0,123,52,1,0,2012,239
ODISHA,51,49,2,162,56,1,0,2012,321
ODISHA,2,21,5,50,6,1,0,2012,85
ODISHA,8,65,0,96,41,1,0,2012,211
ODISHA,1,32,3,34,27,1,0,2012,98
ODISHA,48,38,6,43,65,1,0,2012,201
ODISHA,28,102,0,181,70,1,0,2012,382
ODISHA,16,27,0,178,46,1,0,2012,268
ODISHA,21,73,7,0,31,1,0,2012,133
ODISHA,5,17,0,14,19,1,0,2012,56
ODISHA,34,86,0,129,67,1,0,2012,317
ODISHA,16,25,0,17,35,1,0,2012,94
ODISHA,2,42,0,43,45,1,0,2012,133
ODISHA,1,18,2,13,17,1,0,2012,52
ODISHA,26,42,4,161,51,1,0,2012,285
ODISHA,4,41,5,29,40,1,0,2012,120
ODISHA,2,65,5,29,22,1,0,2012,124
ODISHA,0,57,0,32,26,1,0,2012,116
ODISHA,4,12,0,10,8,1,0,2012,35
ODISHA,0,0,0,0,0,1,0,2012,1
ODISHA,1,1,0,2,3,1,0,2012,8
ODISHA,8,40,5,14,15,1,0,2012,83
ODISHA,525,1458,4,2638,1364,1,0,2012,5990
PUNJAB,8,18,1,49,30,1,0,2012,107
PUNJAB,2,25,0,14,8,1,0,2012,50
PUNJAB,4,25,2,19,20,1,0,2012,71
PUNJAB,6,44,10,55,31,1,0,2012,147
PUNJAB,5,27,0,105,45,1,0,2012,183
PUNJAB,6,33,32,107,29,1,0,2012,208
PUNJAB,10,69,2,135,99,1,0,2012,316
PUNJAB,2,17,38,20,18,1,0,2012,96
PUNJAB,2,15,0,21,7,1,0,2012,46
PUNJAB,2,32,0,36,26,1,0,2012,97
PUNJAB,4,15,0,43,16,1,0,2012,79
PUNJAB,2,0,0,0,0,1,0,2012,3
PUNJAB,10,14,5,45,34,1,0,2012,109
PUNJAB,8,33,0,70,28,1,0,2012,140
PUNJAB,3,29,0,53,33,1,0,2012,119
PUNJAB,3,16,3,46,34,1,0,2012,103
PUNJAB,0,14,0,18,10,1,0,2012,43
PUNJAB,4,11,6,23,21,1,0,2012,66
PUNJAB,3,22,7,23,10,1,0,2012,66
PUNJAB,3,23,0,25,10,1,0,2012,62
PUNJAB,3,18,0,30,28,1,0,2012,80
PUNJAB,7,13,5,25,11,1,0,2012,62
PUNJAB,4,44,4,86,32,1,0,2012,171
PUNJAB,0,22,1,15,18,1,0,2012,57
PUNJAB,7,34,0,40,31,1,0,2012,113
PUNJAB,7,23,0,127,33,1,0,2012,191
PUNJAB,0,21,7,25,13,1,0,2012,67
PUNJAB,3,23,2,38,14,1,0,2012,81
PUNJAB,118,680,8,1293,689,1,0,2012,2789
RAJASTHAN,13,70,6,668,76,1,0,2012,834
RAJASTHAN,47,129,0,655,154,1,0,2012,986
RAJASTHAN,4,56,0,237,87,1,0,2012,385
RAJASTHAN,7,69,0,313,84,1,0,2012,474
RAJASTHAN,20,21,0,237,35,1,0,2012,314
RAJASTHAN,32,108,3,567,168,1,0,2012,879
RAJASTHAN,10,59,5,609,70,1,0,2012,754
RAJASTHAN,16,67,2,546,35,1,0,2012,667
RAJASTHAN,5,43,0,304,77,1,0,2012,430
RAJASTHAN,6,59,4,608,81,1,0,2012,759
RAJASTHAN,8,59,0,405,26,1,0,2012,499
RAJASTHAN,19,14,1,181,75,1,0,2012,291
RAJASTHAN,30,32,44,195,60,1,0,2012,362
RAJASTHAN,5,32,2,119,65,1,0,2012,224
RAJASTHAN,1,4,38,0,5,1,0,2012,49
RAJASTHAN,1,1,0,0,0,1,0,2012,3
RAJASTHAN,21,77,0,803,73,1,0,2012,975
RAJASTHAN,19,92,0,515,57,1,0,2012,684
RAJASTHAN,10,41,0,201,55,1,0,2012,308
RAJASTHAN,13,37,8,265,54,1,0,2012,378
RAJASTHAN,11,39,0,281,86,1,0,2012,418
RAJASTHAN,7,17,0,217,21,1,0,2012,263
RAJASTHAN,0,38,4,257,60,1,0,2012,360
RAJASTHAN,11,12,0,22,5,1,0,2012,51
RAJASTHAN,15,13,4,138,39,1,0,2012,210
RAJASTHAN,5,81,1,434,76,1,0,2012,598
RAJASTHAN,17,45,1,347,55,1,0,2012,466
RAJASTHAN,11,20,0,296,13,1,0,2012,341
RAJASTHAN,16,27,4,121,28,1,0,2012,197
RAJASTHAN,5,20,1,5,23,1,0,2012,55
RAJASTHAN,15,44,0,196,77,1,0,2012,333
RAJASTHAN,5,45,1,428,62,1,0,2012,542
RAJASTHAN,6,42,6,200,44,1,0,2012,299
RAJASTHAN,11,53,4,416,106,1,0,2012,591
RAJASTHAN,9,61,5,464,104,1,0,2012,644
RAJASTHAN,2,137,4,276,78,1,0,2012,498
RAJASTHAN,5,14,0,263,53,1,0,2012,336
RAJASTHAN,6,19,2,213,75,1,0,2012,316
RAJASTHAN,18,55,0,322,62,1,0,2012,458
RAJASTHAN,4,29,0,180,64,1,0,2012,278
RAJASTHAN,3,19,6,309,66,1,0,2012,404
RAJASTHAN,9,149,2,499,163,1,0,2012,823
RAJASTHAN,478,2049,2,13312,2697,1,0,2012,18539
SIKKIM,1,13,0,2,6,1,0,2012,23
SIKKIM,0,0,2,0,0,1,0,2012,3
SIKKIM,0,12,0,1,3,1,0,2012,17
SIKKIM,0,9,3,1,1,1,0,2012,15
SIKKIM,1,34,4,4,10,1,0,2012,54
TAMIL NADU,1,11,0,13,39,1,0,2012,65
TAMIL NADU,12,94,0,237,65,1,0,2012,409
TAMIL NADU,0,0,4,2,2,1,0,2012,9
TAMIL NADU,1,9,4,48,32,1,0,2012,95
TAMIL NADU,0,20,2,112,12,1,0,2012,147
TAMIL NADU,8,40,1,63,124,1,0,2012,237
TAMIL NADU,1,25,0,66,93,1,0,2012,186
TAMIL NADU,4,16,2,111,97,1,0,2012,231
TAMIL NADU,1,8,9,26,23,1,0,2012,68
TAMIL NADU,3,19,5,17,17,1,0,2012,62
TAMIL NADU,4,12,2,100,33,1,0,2012,152
TAMIL NADU,1,4,1,11,48,1,0,2012,66
TAMIL NADU,1,14,0,33,41,1,0,2012,90
TAMIL NADU,11,30,0,71,75,1,0,2012,188
TAMIL NADU,3,11,0,62,51,1,0,2012,128
TAMIL NADU,1,10,11,10,40,1,0,2012,73
TAMIL NADU,1,12,4,8,44,1,0,2012,70
TAMIL NADU,1,9,3,8,7,1,0,2012,29
TAMIL NADU,0,3,0,6,31,1,0,2012,41
TAMIL NADU,0,6,3,35,28,1,0,2012,73
TAMIL NADU,3,9,1,18,35,1,0,2012,67
TAMIL NADU,1,36,0,35,75,1,0,2012,148
TAMIL NADU,3,15,41,21,18,1,0,2012,99
TAMIL NADU,3,11,3,57,39,1,0,2012,114
TAMIL NADU,1,14,0,28,43,1,0,2012,87
TAMIL NADU,5,22,0,63,40,1,0,2012,131
TAMIL NADU,3,44,0,266,43,1,0,2012,357
TAMIL NADU,2,3,0,25,3,1,0,2012,34
TAMIL NADU,5,18,8,19,12,1,0,2012,63
TAMIL NADU,1,21,0,37,52,1,0,2012,112
TAMIL NADU,1,11,0,16,33,1,0,2012,62
TAMIL NADU,1,26,2,50,35,1,0,2012,115
TAMIL NADU,7,8,5,76,38,1,0,2012,135
TAMIL NADU,0,0,0,1,1,1,0,2012,3
TAMIL NADU,3,14,3,24,23,1,0,2012,68
TAMIL NADU,3,7,6,24,13,1,0,2012,54
TAMIL NADU,8,24,0,61,68,1,0,2012,162
TAMIL NADU,4,78,0,58,188,1,0,2012,329
TAMIL NADU,2,23,7,47,32,1,0,2012,112
TAMIL NADU,110,737,0,1965,1693,1,0,2012,4506
TRIPURA,5,35,0,56,8,1,0,2012,105
TRIPURA,4,26,0,157,14,1,0,2012,202
TRIPURA,0,0,0,0,0,1,0,2012,1
TRIPURA,3,10,2,36,3,1,0,2012,55
TRIPURA,3,29,4,101,10,1,0,2012,148
TRIPURA,3,23,5,155,24,1,0,2012,211
TRIPURA,5,30,5,89,16,1,0,2012,146
TRIPURA,2,26,0,92,9,1,0,2012,130
TRIPURA,12,50,0,172,30,1,0,2012,265
TRIPURA,37,229,0,858,114,1,0,2012,1239
UTTAR PRADESH,88,58,0,320,255,1,0,2012,722
UTTAR PRADESH,71,64,5,268,263,1,0,2012,672
UTTAR PRADESH,63,52,4,247,202,1,0,2012,569
UTTAR PRADESH,9,12,1,75,61,1,0,2012,159
UTTAR PRADESH,18,13,0,40,87,1,0,2012,159
UTTAR PRADESH,25,19,2,101,101,1,0,2012,249
UTTAR PRADESH,47,24,10,65,101,1,0,2012,248
UTTAR PRADESH,19,18,0,76,74,1,0,2012,188
UTTAR PRADESH,38,27,32,4,111,1,0,2012,213
UTTAR PRADESH,28,12,2,51,79,1,0,2012,173
UTTAR PRADESH,5,12,38,4,53,1,0,2012,113
UTTAR PRADESH,36,22,0,51,48,1,0,2012,158
UTTAR PRADESH,31,31,0,114,120,1,0,2012,297
UTTAR PRADESH,61,86,0,88,249,1,0,2012,485
UTTAR PRADESH,21,7,0,69,55,1,0,2012,153
UTTAR PRADESH,27,23,5,64,91,1,0,2012,211
UTTAR PRADESH,19,43,0,257,148,1,0,2012,468
UTTAR PRADESH,48,46,0,304,164,1,0,2012,563
UTTAR PRADESH,14,11,3,37,32,1,0,2012,98
UTTAR PRADESH,22,31,0,23,27,1,0,2012,104
UTTAR PRADESH,12,26,6,56,92,1,0,2012,193
UTTAR PRADESH,29,18,7,34,67,1,0,2012,156
UTTAR PRADESH,38,22,0,82,99,1,0,2012,242
UTTAR PRADESH,26,9,0,42,64,1,0,2012,142
UTTAR PRADESH,18,29,5,7,133,1,0,2012,193
UTTAR PRADESH,34,14,4,71,94,1,0,2012,218
UTTAR PRADESH,41,35,1,56,106,1,0,2012,240
UTTAR PRADESH,50,32,0,98,149,1,0,2012,330
UTTAR PRADESH,2,3,0,0,7,1,0,2012,13
UTTAR PRADESH,17,19,7,142,115,1,0,2012,301
UTTAR PRADESH,41,31,2,277,220,1,0,2012,572
UTTAR PRADESH,32,9,8,60,53,1,0,2012,163
UTTAR PRADESH,37,23,6,5,103,1,0,2012,175
UTTAR PRADESH,53,52,0,180,207,1,0,2012,493
UTTAR PRADESH,17,25,0,28,40,1,0,2012,111
UTTAR PRADESH,48,30,0,87,133,1,0,2012,299
UTTAR PRADESH,18,17,0,91,71,1,0,2012,198
UTTAR PRADESH,19,34,3,82,58,1,0,2012,197
UTTAR PRADESH,40,15,5,47,57,1,0,2012,165
UTTAR PRADESH,51,15,2,55,111,1,0,2012,235
UTTAR PRADESH,33,19,0,53,63,1,0,2012,169
UTTAR PRADESH,27,12,4,106,75,1,0,2012,225
UTTAR PRADESH,56,55,0,317,281,1,0,2012,710
UTTAR PRADESH,26,18,1,26,56,1,0,2012,128
UTTAR PRADESH,20,11,44,46,49,1,0,2012,171
UTTAR PRADESH,51,34,2,57,169,1,0,2012,314
UTTAR PRADESH,28,30,38,28,94,1,0,2012,219
UTTAR PRADESH,7,14,0,13,22,1,0,2012,57
UTTAR PRADESH,32,48,0,538,304,1,0,2012,923
UTTAR PRADESH,20,34,0,23,95,1,0,2012,173
UTTAR PRADESH,20,16,0,24,43,1,0,2012,104
UTTAR PRADESH,39,15,8,81,117,1,0,2012,261
UTTAR PRADESH,34,41,0,235,124,1,0,2012,435
UTTAR PRADESH,11,9,0,92,81,1,0,2012,194
UTTAR PRADESH,39,54,4,435,231,1,0,2012,764
UTTAR PRADESH,24,4,0,29,6,1,0,2012,64
UTTAR PRADESH,28,36,4,255,140,1,0,2012,464
UTTAR PRADESH,16,27,1,225,177,1,0,2012,447
UTTAR PRADESH,17,15,1,56,51,1,0,2012,141
UTTAR PRADESH,25,10,0,79,62,1,0,2012,177
UTTAR PRADESH,12,7,4,55,62,1,0,2012,141
UTTAR PRADESH,24,36,1,72,109,1,0,2012,243
UTTAR PRADESH,23,36,0,50,91,1,0,2012,201
UTTAR PRADESH,28,18,1,77,74,1,0,2012,199
UTTAR PRADESH,12,26,6,138,95,1,0,2012,278
UTTAR PRADESH,27,18,4,113,91,1,0,2012,254
UTTAR PRADESH,12,18,5,10,49,1,0,2012,95
UTTAR PRADESH,51,27,4,73,120,1,0,2012,276
UTTAR PRADESH,18,22,0,1,40,1,0,2012,82
UTTAR PRADESH,8,22,2,35,47,1,0,2012,115
UTTAR PRADESH,45,49,0,125,224,1,0,2012,444
UTTAR PRADESH,17,21,0,21,28,1,0,2012,88
UTTAR PRADESH,7,4,6,13,18,1,0,2012,49
UTTAR PRADESH,15,26,2,84,63,1,0,2012,191
UTTAR PRADESH,44,41,2,141,174,1,0,2012,403
UTTAR PRADESH,35,21,0,177,85,1,0,2012,319
UTTAR PRADESH,2244,1963,2,7661,7910,1,0,2012,19781
UTTARAKHAND,2,5,0,5,0,1,0,2012,13
UTTARAKHAND,4,8,3,2,1,1,0,2012,19
UTTARAKHAND,1,2,4,0,2,1,0,2012,10
UTTARAKHAND,1,3,0,0,0,1,0,2012,5
UTTARAKHAND,13,30,0,111,41,1,0,2012,196
UTTARAKHAND,10,47,4,89,73,1,0,2012,224
UTTARAKHAND,10,16,4,22,29,1,0,2012,82
UTTARAKHAND,2,2,2,2,10,1,0,2012,19
UTTARAKHAND,2,1,1,2,1,1,0,2012,8
UTTARAKHAND,1,2,0,4,3,1,0,2012,11
UTTARAKHAND,3,1,2,0,3,1,0,2012,10
UTTARAKHAND,22,30,9,128,91,1,0,2012,281
UTTARAKHAND,0,1,5,3,2,1,0,2012,12
UTTARAKHAND,71,148,2,368,256,1,0,2012,846
WEST BENGAL,74,118,1,1860,338,1,0,2012,2392
WEST BENGAL,45,244,0,1666,419,1,0,2012,2375
WEST BENGAL,15,36,0,240,49,1,0,2012,341
WEST BENGAL,26,35,0,221,80,1,0,2012,363
WEST BENGAL,9,13,11,320,0,1,0,2012,354
WEST BENGAL,23,49,4,245,62,1,0,2012,384
WEST BENGAL,20,36,3,989,201,1,0,2012,1250
WEST BENGAL,55,58,0,224,65,1,0,2012,403
WEST BENGAL,25,92,3,539,169,1,0,2012,829
WEST BENGAL,18,66,1,342,107,1,0,2012,535
WEST BENGAL,2,10,0,106,39,1,0,2012,158
WEST BENGAL,32,68,41,1195,145,1,0,2012,1482
WEST BENGAL,16,56,3,883,120,1,0,2012,1079
WEST BENGAL,15,28,0,550,135,1,0,2012,729
WEST BENGAL,1,2,0,1,2,1,0,2012,7
WEST BENGAL,17,163,0,1625,279,1,0,2012,2085
WEST BENGAL,6,21,0,47,21,1,0,2012,96
WEST BENGAL,0,2,8,2,4,1,0,2012,17
WEST BENGAL,19,68,0,865,210,1,0,2012,1163
WEST BENGAL,7,158,0,660,189,1,0,2012,1015
WEST BENGAL,39,257,2,2831,464,1,0,2012,3594
WEST BENGAL,46,174,5,1860,374,1,0,2012,2460
WEST BENGAL,26,64,0,823,115,1,0,2012,1029
WEST BENGAL,31,65,3,572,170,1,0,2012,842
WEST BENGAL,12,50,6,206,34,1,0,2012,309
WEST BENGAL,1,0,0,0,5,1,0,2012,7
WEST BENGAL,1,0,0,0,3,1,0,2012,5
WEST BENGAL,3,21,7,370,111,1,0,2012,513
WEST BENGAL,9,92,0,623,258,1,0,2012,983
WEST BENGAL,593,2046,0,19865,4168,1,0,2012,26673
A & N ISLANDS,0,0,0,0,1,1,0,2012,2
A & N ISLANDS,0,4,0,2,0,1,0,2012,7
A & N ISLANDS,2,8,2,3,6,1,0,2012,22
A & N ISLANDS,2,12,4,5,7,1,0,2012,31
CHANDIGARH,5,27,5,73,66,1,0,2012,177
CHANDIGARH,5,27,5,73,66,1,0,2012,177
D & N HAVELI,0,3,0,0,9,1,0,2012,13
D & N HAVELI,0,3,0,0,9,1,0,2012,13
DAMAN & DIU,0,5,0,1,0,1,0,2012,7
DAMAN & DIU,0,0,0,2,0,1,0,2012,3
DAMAN & DIU,0,5,5,3,0,1,0,2012,14
DELHI,0,0,4,178,0,1,0,2012,183
DELHI,4,31,1,57,95,1,0,2012,189
DELHI,0,1,0,0,1,1,0,2012,3
DELHI,134,706,2,1985,2160,1,0,2012,4988
DELHI,7,90,10,202,251,1,0,2012,561
DELHI,0,0,0,0,0,1,0,2012,1
DELHI,1,4,32,0,12,1,0,2012,50
DELHI,0,0,2,0,0,1,0,2012,3
