State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
ODISHA,3,10,0,9,4,1,0,2011,27
ODISHA,0,0,0,0,0,1,0,2011,1
ODISHA,1,1,8,3,0,1,0,2011,14
ODISHA,5,25,0,7,12,1,0,2011,50
ODISHA,465,1112,0,2320,1008,1,0,2011,4906
PUNJAB,1,16,4,58,20,1,0,2011,100
PUNJAB,3,5,0,10,5,1,0,2011,24
PUNJAB,4,13,4,35,14,1,0,2011,71
PUNJAB,5,37,1,49,20,1,0,2011,113
PUNJAB,4,20,1,101,34,1,0,2011,161
PUNJAB,4,15,0,74,40,1,0,2011,134
PUNJAB,14,48,4,109,76,1,0,2011,252
PUNJAB,1,8,1,20,6,1,0,2011,37
PUNJAB,4,4,0,21,8,1,0,2011,38
PUNJAB,3,21,1,29,17,1,0,2011,72
PUNJAB,6,20,6,53,25,1,0,2011,111
PUNJAB,0,0,4,0,0,1,0,2011,5
PUNJAB,6,12,5,38,22,1,0,2011,84
PUNJAB,11,28,4,72,23,1,0,2011,139
PUNJAB,6,31,0,57,26,1,0,2011,121
PUNJAB,2,16,2,39,17,1,0,2011,77
PUNJAB,1,7,0,10,8,1,0,2011,27
PUNJAB,4,8,0,22,10,1,0,2011,45
PUNJAB,4,14,6,13,5,1,1,2011,44
PUNJAB,5,12,2,26,12,1,1,2011,59
PUNJAB,7,17,2,16,14,1,1,2011,58
PUNJAB,5,10,0,21,12,1,1,2011,50
PUNJAB,13,25,2,95,26,1,1,2011,163
PUNJAB,5,14,0,18,16,1,1,2011,55
PUNJAB,14,30,3,36,11,1,1,2011,96
PUNJAB,4,24,4,76,27,1,1,2011,137
PUNJAB,4,8,0,14,6,1,1,2011,34
PUNJAB,3,16,0,24,17,1,1,2011,62
PUNJAB,143,479,4,1136,517,1,1,2011,2281
RAJASTHAN,15,70,4,709,108,1,1,2011,908
RAJASTHAN,53,99,2,556,143,1,1,2011,855
RAJASTHAN,6,55,1,190,95,1,1,2011,349
RAJASTHAN,10,60,0,351,88,1,1,2011,511
RAJASTHAN,27,21,2,201,34,1,1,2011,287
RAJASTHAN,29,69,9,478,139,1,1,2011,726
RAJASTHAN,16,52,5,558,74,1,1,2011,707
RAJASTHAN,17,55,2,446,25,1,1,2011,547
RAJASTHAN,6,40,1,298,99,1,1,2011,446
RAJASTHAN,4,50,0,588,98,1,1,2011,742
RAJASTHAN,10,37,0,342,26,0,1,2011,416
RAJASTHAN,12,13,0,184,72,0,1,2011,282
RAJASTHAN,19,32,11,197,64,0,1,2011,324
RAJASTHAN,5,39,4,134,87,0,1,2011,270
RAJASTHAN,0,2,3,0,6,0,1,2011,12
RAJASTHAN,0,0,0,0,1,0,1,2011,2
RAJASTHAN,19,99,3,653,68,0,1,2011,843
RAJASTHAN,12,82,1,405,38,0,1,2011,539
RAJASTHAN,15,31,0,272,69,0,1,2011,388
RAJASTHAN,8,20,41,241,38,0,1,2011,349
RAJASTHAN,15,37,3,213,75,0,1,2011,344
RAJASTHAN,6,18,0,215,47,0,1,2011,287
RAJASTHAN,10,23,0,208,72,0,1,2011,314
RAJASTHAN,5,4,0,20,5,0,1,2011,35
RAJASTHAN,14,22,0,154,47,0,1,2011,238
RAJASTHAN,14,67,8,385,55,0,1,2011,530
RAJASTHAN,21,51,0,284,59,0,1,2011,416
RAJASTHAN,13,33,0,338,45,0,1,2011,430
RAJASTHAN,17,26,2,133,35,0,1,2011,214
RAJASTHAN,18,38,5,174,78,0,1,2011,314
RAJASTHAN,5,24,0,413,74,0,1,2011,517
RAJASTHAN,5,44,3,235,50,0,1,2011,338
RAJASTHAN,14,70,6,398,60,0,1,2011,549
RAJASTHAN,11,64,0,451,88,0,1,2011,615
RAJASTHAN,7,103,0,212,77,0,1,2011,400
RAJASTHAN,2,14,7,234,44,0,1,2011,302
RAJASTHAN,4,24,0,201,72,0,1,2011,302
RAJASTHAN,26,50,0,232,69,0,1,2011,378
RAJASTHAN,5,27,0,156,52,0,1,2011,241
RAJASTHAN,5,25,0,315,75,0,0,2011,420
RAJASTHAN,14,110,2,444,162,0,0,2011,732
RAJASTHAN,514,1800,4,12218,2713,0,0,2011,17249
SIKKIM,0,7,5,2,5,0,0,2011,19
SIKKIM,0,0,5,0,0,0,0,2011,5
SIKKIM,0,4,0,1,4,0,0,2011,9
SIKKIM,0,5,0,1,1,3,0,2011,10
SIKKIM,0,16,0,4,10,3,0,2011,33
TAMIL NADU,1,16,0,15,17,3,0,2011,52
TAMIL NADU,20,76,5,229,41,3,0,2011,374
TAMIL NADU,1,0,4,0,1,3,0,2011,9
TAMIL NADU,1,5,1,50,29,3,0,2011,89
